Neighborhood,Crime Overall Score,Park Overall Score,Education Overall Score
25,East Carnegie,1.0,0.17,0.14
68,Ridgemont,0.8944444444444445,0.0,0.14
29,Esplen,1.0,0.17,0.15
67,Regent Square,1.0,0.0,0.98
4,Arlington Heights,0.8006172839506173,0.0,0.08
59,Outside County,0.3432098765432099,0.0,0.0
53,New Homestead,1.0,0.17,0.24
82,Summer Hill,0.8680555555555556,0.0,0.05
83,Swisshelm Park,0.7097222222222223,0.17,0.98
36,Hays,0.48541666666666666,0.17,0.24
66,Polish Hill,0.16611111111111118,0.17,0.25
51,Mount Oliver,0.24351851851851855,0.0,0.0
79,St. Clair,0.9120370370370371,0.0,0.08
1,Allegheny West,0.5162037037037037,0.0,0.0
60,Outside State,0.9648148148148148,0.0,0.0
34,Glen Hazel,0.6510802469135802,0.0,0.14
88,West End,0.700925925925926,0.17,0.16
75,Spring Garden,0.4678240740740741,0.33,0.2
72,South Shore,0.6422839506172839,0.0,0.0
57,Oakwood,0.7132407407407407,0.17,0.14
50,Morningside,0.5091666666666668,0.17,0.29
31,Fineview,0.7505050505050506,0.33,0.11
30,Fairywood,0.5880401234567901,0.17,0.15
61,Overbrook,0.5880401234567901,0.0,0.2
91,Windgap,0.9061728395061728,0.17,0.15
44,Lincoln Place,0.8358024691358025,0.33,0.24
89,West Oakland,0.6173611111111111,0.17,0.17
11,Bon Air,0.7756944444444445,0.17,0.1
32,Friendship,0.8565527065527065,0.0,0.45
71,South Oakland,0.50489417989418,0.5,0.17
47,Manchester,0.5941975308641975,0.5,0.1
90,Westwood,0.3185802469135803,0.33,0.14
86,Upper Hill,0.6458024691358025,0.17,0.0
85,Troy Hill,0.4414351851851852,0.83,0.2
23,Duquesne Heights,0.584375,0.17,0.17
5,Banksville,0.7866898148148148,0.33,0.14
58,Outside City,0.5085069444444444,0.0,0.0
80,Stanton Heights,0.7493055555555556,0.17,0.32
87,Upper Lawrenceville,0.6450435729847495,0.5,0.41
3,Arlington,0.7681917211328976,0.17,0.08
84,Terrace Village,0.36977124183006543,0.33,0.0
41,Homewood West,0.8055041152263375,0.17,0.08
14,California-Kirkbride,0.0,0.0,0.1
46,Lower Lawrenceville,0.5566666666666668,0.5,0.25
0,Allegheny Center,0.5003703703703705,0.33,0.0
35,Greenfield,0.4256018518518519,0.33,0.55
56,Northview Heights,0.41441798941798946,0.0,0.05
65,Point Breeze North,0.3892857142857143,0.17,0.45
64,Point Breeze,0.16141975308641984,0.17,0.96
19,Central Oakland,0.712121212121212,0.33,0.17
77,Squirrel Hill North,0.3890572390572391,0.17,1.0
76,Spring Hill-City View,0.40105218855218855,0.5,0.0
8,Beltzhoover,0.49057971014492757,0.5,0.09
62,Perry North,0.6620756172839506,0.33,0.28
55,North Shore,0.6777037037037037,0.5,0.0
17,Central Lawrenceville,0.5007343550446999,0.17,0.41
21,Crafton Heights,0.7067901234567902,0.33,0.07
33,Garfield,0.7145459976105137,0.5,0.07
18,Central North Side,0.6935483870967742,0.0,0.0
20,Chateau,0.17825567502986858,0.0,0.1
38,Highland Park,0.553587962962963,0.33,0.66
49,Middle Hill,0.37931134259259264,0.17,0.0
2,Allentown,0.40295138888888893,0.33,0.09
26,East Hills,0.7071350762527233,0.17,0.1
43,Larimer,0.7583605664488018,0.17,0.16
28,Elliott,0.5988888888888888,0.67,0.16
6,Bedford Dwellings,0.46944444444444444,0.17,0.0
81,Strip District,0.5895061728395061,0.33,0.25
42,Knoxville,0.512369420702754,0.0,0.1
54,North Oakland,0.7013770180436848,0.0,0.17
74,South Side Slopes,0.5804166666666667,1.0,0.22
63,Perry South,0.6055986218776918,0.33,0.11
24,East Allegheny,0.5562757201646091,0.0,0.2
7,Beechview,0.7174629629629631,1.0,0.18
37,Hazelwood,0.7002222222222223,0.83,0.14
9,Bloomfield,0.6708585858585858,0.5,0.45
12,Brighton Heights,0.5141245791245792,0.5,0.21
40,Homewood South,0.5854938271604938,0.17,0.08
39,Homewood North,0.7592592592592593,0.17,0.08
78,Squirrel Hill South,0.7166666666666668,0.5,0.0
45,Lincoln-Lemington-Belmar,0.5843377275580666,0.33,0.11
70,Sheraden,0.6880063657407407,0.67,0.07
22,Crawford-Roberts,0.8007048092868989,0.5,0.0
13,Brookline,0.45514705882352946,0.33,0.32
69,Shadyside,0.671521164021164,0.0,0.39
52,Mount Washington,0.45066510172143975,0.83,0.17
10,Bluff,0.5745565988523735,0.17,0.17
48,Marshall-Shadeland,0.6552802802802804,0.67,0.08
27,East Liberty,0.6868937389770724,0.67,0.16
15,Carrick,0.6046499796499798,0.5,0.15
73,South Side Flats,0.5542740740740741,0.5,0.42
16,Central Business District,0.5725094078035254,0.5,0.0
