,hood,Neighborhood Overall Score
40,Beechview,1.4191543209876543
15,South Side Slopes,1.4134722222222222
35,Swisshelm Park,1.386574074074074
67,Regent Square,1.3133333333333332
64,Squirrel Hill North,1.299685746352413
18,Hazelwood,1.2034074074074075
33,Point Breeze,1.18380658436214
27,Troy Hill,1.1771450617283952
36,Highland Park,1.1745293209876544
31,Bloomfield,1.1736195286195286
22,Mount Washington,1.1502217005738133
39,Upper Lawrenceville,1.1250145243282497
13,South Side Flats,1.104758024691358
77,East Liberty,1.0589645796590241
55,Elliott,1.0296296296296297
23,Greenfield,1.0218672839506173
52,Sheraden,0.9693354552469136
70,Marshall-Shadeland,0.9684267600934268
30,Lower Lawrenceville,0.9355555555555556
59,Brighton Heights,0.8813748597081931
32,Carrick,0.8515499932166599
71,Lincoln Place,0.8486008230452675
21,South Oakland,0.8382980599647267
89,Perry North,0.8306918724279836
37,Garfield,0.8081819992035046
41,Brookline,0.8017156862745098
38,Manchester,0.7980658436213991
4,Strip District,0.7765020576131688
3,Crawford-Roberts,0.766901603095633
11,Beltzhoover,0.7535265700483091
69,Point Breeze North,0.7497619047619047
12,Central Lawrenceville,0.7469114516815666
79,New Homestead,0.7433333333333334
29,Stanton Heights,0.7397685185185185
24,Squirrel Hill South,0.7388888888888889
0,Central Oakland,0.7373737373737373
48,Friendship,0.7355175688509021
46,Banksville,0.732229938271605
44,North Shore,0.7259012345679012
5,Central Business District,0.6908364692678418
17,Fineview,0.6901683501683502
26,Spring Garden,0.6859413580246914
82,Esplen,0.6533333333333333
78,East Carnegie,0.6433333333333333
7,Perry South,0.6418662072925639
60,Crafton Heights,0.6355967078189301
19,Lincoln-Lemington-Belmar,0.6347792425193555
6,Spring Hill-City View,0.6336840628507295
42,Morningside,0.6297222222222222
47,Windgap,0.6220576131687243
56,Shadyside,0.6138403880070546
43,Larimer,0.582786855482934
10,Westwood,0.5761934156378601
68,Hays,0.5718055555555556
86,West End,0.563641975308642
14,Allentown,0.5543171296296296
76,Oakwood,0.547746913580247
2,West Oakland,0.545787037037037
34,Duquesne Heights,0.5347916666666667
16,Bluff,0.5315188662841246
45,Bon Air,0.5285648148148148
75,Homewood West,0.5185013717421125
83,Fairywood,0.5160133744855967
49,Arlington,0.5060639070442992
20,East Hills,0.5057116920842412
74,Homewood North,0.5030864197530864
58,Allegheny Center,0.4967901234567902
61,Polish Hill,0.47537037037037044
65,Terrace Village,0.45325708061002185
73,Homewood South,0.445164609053498
85,Ridgemont,0.4381481481481482
1,North Oakland,0.40379233934789494
72,Overbrook,0.3960133744855967
28,East Allegheny,0.3854252400548697
80,Upper Hill,0.3852674897119342
50,St. Clair,0.3840123456790124
88,Glen Hazel,0.35702674897119346
63,Arlington Heights,0.3468724279835391
8,Summer Hill,0.33935185185185185
66,Bedford Dwellings,0.3264814814814815
81,Middle Hill,0.2964371141975309
57,Knoxville,0.27078980690091803
53,South Shore,0.21409465020576132
9,Northview Heights,0.1881393298059965
54,Allegheny West,0.17206790123456792
62,Chateau,0.15941855834328952
87,California-Kirkbride,0.1
25,Central Northside,0.0
51,Mt. Oliver,0.0
84,Chartiers City,0.0
